LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,LODGEMENT_DATETIME,PRIMARY_ENERGY_VALUE,UPRN,UPRN_SOURCE
138f0298f4f70984cf5f3f5ce11222346a13719b83615fbed2d9733051d6be9f,290 Regent Street,,,W1B 3AP,10004671192,37,B,Retail/Financial and Professional Services,2023-05-31,E09000033,E14000639,,2023-06-17,Mandatory issue (Property to let).,9,35,3,Grid Supplied Electricity,,,,572,18.25,3.16,12.62,13.63,Yes,,2.0,5,Air Conditioning,290 Regent Street,Westminster,Cities of London and Westminster,LONDON,2023-06-17 07:13:21,150,10033623974,Energy Assessor
f779ad7ceab51c7f670d5dc89097152e5330b0406195d0b0e2ee845ba526a293,292 Regent Street,,,W1B 3AP,10004671607,34,B,Retail/Financial and Professional Services,2023-05-31,E09000033,E14000639,,2023-06-17,Mandatory issue (Property to let).,11,45,3,Grid Supplied Electricity,,,,310,15.63,3.5,14.01,10.74,Yes,,2.0,5,Air Conditioning,292 Regent Street,Westminster,Cities of London and Westminster,LONDON,2023-06-17 08:08:43,117,10033542312,Energy Assessor
1a3992e8c526e6c43f685e24203f4f33e58801a5a001d5f92066ed9f17be7469,65 Regent Street,,,W1B 4DZ,10004672457,49,B,Offices and Workshop Businesses,2023-06-07,E09000033,E14000639,,2023-06-09,Mandatory issue (Non-marketed sale),6,24,3,Grid Supplied Electricity,,,,40,21.39,2.55,10.24,21.0,No,,,4,Heating and Natural Ventilation,65 Regent Street,Westminster,Cities of London and Westminster,London,2023-06-22 08:19:10,221,10033555876,Address Matched
9276efe7fa9920193493e7aacfe243883b9a5f45ff8c961c595a6b35abfa24c6,67 Regent Street,,,W1B 4EB,10004672467,84,D,Retail/Financial and Professional Services,2023-06-07,E09000033,E14000639,,2023-06-09,Mandatory issue (Non-marketed sale),12,47,3,Grid Supplied Electricity,,,,156,13.39,3.13,12.56,22.49,No,,,4,Heating and Natural Ventilation,67 Regent Street,Westminster,Cities of London and Westminster,London,2023-06-22 08:21:20,238,100023621494,Address Matched
638f6eb25092a7ab74eec9ce8a6f3b86a26fa76b750735d422b38a67b453e2fe,Unit 2,292 Regent Street,,W1B 3AP,10004680675,64,C,Retail/Financial and Professional Services,2022-12-07,E09000033,E14000639,,2023-06-06,Mandatory issue (Marketed sale),14,54,3,Grid Supplied Electricity,,,,345,13.3,3.61,14.47,16.92,No,,,4,Air Conditioning,"Unit 2, 292 Regent Street",Westminster,Cities of London and Westminster,LONDON,2023-06-06 09:24:52,180,,
5899bd3028f953b26faf57c7a9a4c57cd3f2170f66469d7e8b31b71327fbb952,236-240 Oxford Street,261-271 Regent Street ,Including Basement & Ground Floor at ,W1B 2ES,10004518041,69,C,Retail/Financial and Professional Services,2023-03-06,E09000033,E14000639,,2023-04-25,Mandatory issue (Marketed sale),10,41,3,Grid Supplied Electricity,,,,7475,15.79,3.21,12.89,21.8,No,,,4,Air Conditioning,"236-240 Oxford Street, 261-271 Regent Street, Including Basement & Ground Floor at",Westminster,Cities of London and Westminster,LONDON,2023-05-09 10:36:45,238,,
c7149e9a33b15d37f71c27d8da5d73005a9dfd97f3e6549dbc5d278cb62224cd,Retail Unit,143 Regent Street,,W1B 5LB,10004241416,55,C,Retail/Financial and Professional Services,2023-03-07,E09000033,E14000639,,2023-03-10,Mandatory issue (Property to let).,8,31,4,Grid Supplied Electricity,,,,133,15.71,2.44,9.78,17.38,Yes,,2.0,4,Heating and Natural Ventilation,"Retail Unit, 143 Regent Street",Westminster,Cities of London and Westminster,LONDON,2023-03-10 11:37:04,181,,
a20754b01de8a954512c43f050f0104a6326e8b3f3355d797ba250a33a991dc7,Unit 2,234 Regent Street,,W1B 3BR,10004082721,40,B,Retail/Financial and Professional Services,2022-12-07,E09000033,E14000639,,2023-02-09,Mandatory issue (Marketed sale),15,61,4,Grid Supplied Electricity,,,,3760,13.42,4.07,16.31,10.66,No,,,4,Air Conditioning,"Unit 2, 234 Regent Street",Westminster,Cities of London and Westminster,LONDON,2023-02-09 09:31:39,114,,
426fca1233dd57cc9be9b4af2c848c0744d5d316cb7ed02366e264ce19765780,ZARA,118 REGENT STREET,,W1B 5FE,10001315891,44,B,Retail/Financial and Professional Services,2023-01-10,E09000033,E14000639,,2023-01-12,Mandatory issue (Property to let).,14,57,4,Grid Supplied Electricity,,,,2428,14.47,4.14,16.57,12.76,Yes,,2.0,1,Air Conditioning,"ZARA, 118 REGENT STREET",Westminster,Cities of London and Westminster,LONDON,2023-01-12 13:41:44,139,,
a34548b70c376c39b4c602f0b66f7e074396d0240bbc11dbd56b1ec8bffa568a,120 Regent Street,,,W1B 5FE,10003931257,80,D,Offices and Workshop Businesses,2022-12-16,E09000033,E14000639,,2023-01-04,Mandatory issue (Property to let).,14,57,5,Grid Supplied Electricity,,,,1624,15.09,4.28,17.11,24.05,Yes,,2.0,4,Air Conditioning,120 Regent Street,Westminster,Cities of London and Westminster,London,2023-01-04 16:39:35,256,10033627391,Address Matched
3349142fb313c64165e00508ae2a13274f92f5236a76804c86b3935f91748fbe,79-81 Regent Street,,,W1B 4EG,10003820041,72,C,Retail/Financial and Professional Services,2022-12-16,E09000033,E14000639,,2022-12-16,Mandatory issue (Non-marketed sale),14,56,3,Grid Supplied Electricity,,,,195,14.87,4.18,16.72,21.39,Yes,,3.0,5,Air Conditioning,79-81 Regent Street,Westminster,Cities of London and Westminster,LONDON,2022-12-16 17:44:41,231,10033542343,Energy Assessor
bcf372d98aa9c11d0806ccc56ac59825894ed70a186e2ec886f28eef301e1be2,Retail Unit,114-120 Regent Street,,W1B 5FE,154883840003,117,E,Retail/Financial and Professional Services,2022-12-09,E09000033,E14000639,,2022-12-13,Mandatory issue (Property to let).,20,80,5,Grid Supplied Electricity,,,,2252,9.75,3.91,15.63,22.88,Yes,,2.0,4,Air Conditioning,"Retail Unit, 114-120 Regent Street",Westminster,Cities of London and Westminster,London,2022-12-13 10:43:28,250,,
